instruction,output
Please describe what is the difference between RAG and fine-tuning?,"RAG retrieves external knowledge at inference without changing weights — ideal for frequently updated facts, private documents, and reducing hallucination. Fine-tuning updates weights on domain data — ideal for style, format, and behavioral changes. RAG has higher inference latency; fine-tuning has higher training cost. They are complementary: fine-tune for format, use RAG for facts."
"In simple terms, what is what is the HuggingFace Transformers library?","HuggingFace Transformers provides a unified API to load thousands of pretrained models from the Model Hub. Key classes: AutoModelForCausalLM, AutoTokenizer, Trainer, TrainingArguments, pipeline. Supports PyTorch, TensorFlow, and JAX. Integrates with PEFT, TRL, and Datasets libraries."
Briefly describe what is dropout regularization? Give examples.,"Dropout randomly sets a fraction p of neurons to zero during training, forcing the network to learn redundant representations. Acts as an ensemble of many sub-networks. Reduces overfitting on small datasets. At inference, all neurons are active and outputs are scaled by (1-p). Less commonly used in modern LLMs."
What is meant by what is a conditional GAN?,"In a CGAN, both G and D receive a class label y as input. G generates class-conditional samples; D discriminates real/fake conditioned on y. This allows targeted generation, e.g., ""generate digit 5"". StyleGAN uses AdaIN layers to inject style conditions at multiple resolutions."
Briefly describe what is dropout regularization? Explain with definitions.,"Dropout randomly sets a fraction p of neurons to zero during training, forcing the network to learn redundant representations. Acts as an ensemble of many sub-networks. Reduces overfitting on small datasets. At inference, all neurons are active and outputs are scaled by (1-p). Less commonly used in modern LLMs."
Define the following: what is cross-attention?,"Cross-attention allows the decoder to attend over encoder representations. Q comes from the decoder, K and V come from the encoder. This enables the decoder to look up relevant parts of the encoded input, fundamental in seq2seq tasks like translation."
I need help understanding explain Chain-of-Thought prompting. Give examples where relevant.,"CoT prompting (Wei et al., 2022) elicits step-by-step reasoning before the final answer. Zero-shot CoT adds ""Let us think step by step."" Few-shot CoT provides worked-out reasoning examples. CoT dramatically improves multi-step arithmetic, commonsense, and symbolic reasoning. It enables models to decompose problems and check intermediate steps."
What is the PEFT library?,"PEFT by HuggingFace simplifies applying LoRA, prefix tuning, prompt tuning, and IA3 to any HuggingFace model. Key functions: LoraConfig, get_peft_model (wraps model and freezes base), PeftModel.from_pretrained (loads adapter). Integrates with Trainer and SFTTrainer."
Define the following: what is instruction tuning?,"Instruction tuning fine-tunes LLMs on diverse (instruction, output) pairs covering many tasks. Models learn to follow natural language instructions zero-shot. FLAN, Alpaca, Vicuna, and OpenHermes are examples. Instruction tuning drastically improves zero-shot generalization across unseen tasks."
Briefly describe what is Layer Normalization?,"LayerNorm normalizes activations across the feature dimension for each token independently: y = (x - mean) / (std + eps) * gamma + beta. Unlike BatchNorm, it does not depend on batch size, making it suitable for variable-length sequences. Pre-LN (applied before attention) is more stable than post-LN."
Define the following: what is a Variational Autoencoder?,"A VAE is a latent variable model with encoder q(z|x) and decoder p(x|z). The encoder outputs mean and variance of a Gaussian; the decoder reconstructs x from sampled z. Training minimizes the ELBO = E[log p(x|z)] - KL(q(z|x)||p(z)), which is reconstruction quality minus KL divergence regularization."
I need help understanding what is a conditional GAN? Give examples where relevant.,"In a CGAN, both G and D receive a class label y as input. G generates class-conditional samples; D discriminates real/fake conditioned on y. This allows targeted generation, e.g., ""generate digit 5"". StyleGAN uses AdaIN layers to inject style conditions at multiple resolutions."
What is generative AI? For a Generative AI course student.,"Generative AI refers to models that learn data distributions and synthesize new content—text, images, audio, video, or code—that resembles the training data. Unlike discriminative models that predict labels, generative models explicitly learn P(x) or P(x|y). Examples include GPT-4 (text), DALL-E 3 (images), MusicLM (audio), and AlphaCode (code)."
What is the difference between BERT and GPT? Be concise and precise.,"BERT is encoder-only with bidirectional masked language modeling — reads the full sequence, best for understanding tasks (classification, NER, QA extraction). GPT is decoder-only with causal language modeling — generates tokens left to right, best for text generation and in-context learning."
What is self-attention and how is it computed? Provide a detailed answer.,"Self-attention projects input X into Q=XW_Q, K=XW_K, V=XW_V. Attention(Q,K,V) = softmax(QK^T / sqrt(d_k)) V. Scaling by sqrt(d_k) prevents softmax saturation. Output is a weighted sum of values, with weights reflecting token-to-token relevance. Complexity is O(n^2 d)."
Please describe what is gradient checkpointing?,"Gradient checkpointing reduces activation memory by not storing all intermediate activations during the forward pass. During backprop, discarded activations are recomputed on the fly. Trades about 30% extra compute for a large reduction in memory, enabling larger batch sizes or longer sequences."
What is the TRL library? Be concise and precise.,"TRL (Transformer Reinforcement Learning) is a HuggingFace library for LLM alignment. Key classes: SFTTrainer (supervised fine-tuning), RewardTrainer, PPOTrainer, DPOTrainer. Integrates with PEFT for memory-efficient training."
Define the following: what is the difference between closed-book and open-book QA?,Closed-book QA relies solely on model weights — the model answers from memory. Open-book QA provides documents or uses RAG to retrieve relevant passages — the model grounds answers in context. Open-book QA reduces hallucination and allows answering questions outside the training distribution.
Can you explain what is positional encoding? Give examples where relevant.,"Since self-attention is permutation-invariant, positional encoding injects order information. Original Transformer uses fixed sinusoids: PE(pos,2i)=sin(pos/10000^(2i/d)), PE(pos,2i+1)=cos(pos/10000^(2i/d)). BERT/GPT use learned embeddings. LLaMA uses RoPE (Rotary Position Embedding), which applies rotation matrices to Q and K, enabling relative position information and length generalization."
"As an AI student, explain compare LoRA and full fine-tuning. Provide a detailed answer.",Full fine-tuning updates all parameters needing roughly 28 GB GPU for a 7B model. LoRA adds about 0.1-0.4% extra params needing roughly 6 GB. Quality is comparable for most tasks. LoRA adapters are modular and swappable — multiple tasks can share one base model. LoRA also avoids catastrophic forgetting because base weights are frozen.
Please describe what is the forward and reverse process in diffusion models? Explain with clear definitions.,"Forward: q(x_t|x_{t-1}) = N(x_t; sqrt(1-beta_t)*x_{t-1}, beta_t*I) adds Gaussian noise at each step. Reverse: learned p_theta(x_{t-1}|x_t) denoises step by step. The network predicts the noise epsilon_theta(x_t, t) and the loss is MSE between predicted and actual noise."
Please explain what is positional encoding? For a Generative AI course student.,"Since self-attention is permutation-invariant, positional encoding injects order information. Original Transformer uses fixed sinusoids: PE(pos,2i)=sin(pos/10000^(2i/d)), PE(pos,2i+1)=cos(pos/10000^(2i/d)). BERT/GPT use learned embeddings. LLaMA uses RoPE (Rotary Position Embedding), which applies rotation matrices to Q and K, enabling relative position information and length generalization."
Can you explain what is RAG? Explain technically.,"RAG (Retrieval-Augmented Generation, Lewis et al., 2020) enhances generation by retrieving relevant documents at inference time. Pipeline: offline — chunk documents, embed chunks, store in vector DB; online — embed query, retrieve top-k similar chunks by ANN search, inject into prompt, LLM generates a grounded answer. Reduces hallucinations without retraining."
Please explain what is Groq? Be concise and precise.,"Groq is an inference platform with custom LPU hardware delivering extremely fast token generation (200-400 tokens/second). Provides a free API tier supporting LLaMA-3, Mixtral, and Gemma models. Useful for rapid prototyping where low latency matters."
Please describe how does a generative model differ from a discriminative model?,"Discriminative models learn P(y|x)—mapping inputs to labels. Generative models learn the full data distribution P(x) or joint P(x,y), allowing them to sample new examples. Generative models can do more (synthesis, density estimation) but are harder to train."
Please explain what is self-consistency prompting? Be concise and precise.,"Self-consistency (Wang et al., 2022) samples multiple diverse CoT reasoning paths for the same question and takes a majority vote on the final answer. Accuracy improves with more samples. It exploits the fact that correct reasoning paths tend to converge on the correct answer while incorrect paths diverge."
What is paged AdamW? Give examples where relevant.,"Paged AdamW (bitsandbytes) keeps optimizer states in CPU RAM and pages them to GPU only when needed. Standard AdamW stores moment tensors on GPU (2x model size). Paged AdamW reduces peak GPU memory significantly, enabling larger batch sizes. Used with QLoRA."
What is a Variational Autoencoder? Be concise and precise.,"A VAE is a latent variable model with encoder q(z|x) and decoder p(x|z). The encoder outputs mean and variance of a Gaussian; the decoder reconstructs x from sampled z. Training minimizes the ELBO = E[log p(x|z)] - KL(q(z|x)||p(z)), which is reconstruction quality minus KL divergence regularization."
What is meant by what is the reparameterization trick in VAEs? Include relevant equations or pseudocode if helpful.,"Sampling z ~ N(mu, sigma^2) is non-differentiable. The reparameterization trick rewrites z = mu + sigma * epsilon where epsilon ~ N(0,1). Gradients flow through mu and sigma deterministically; epsilon carries the randomness. This enables backpropagation through the sampling step."
"For a university exam, explain what is the GAN training objective?","min_G max_D E[log D(x)] + E[log(1 - D(G(z)))]. D maximizes log-probabilities for real data and log(1-p) for fakes. G minimizes log(1 - D(G(z))), or equivalently maximizes log D(G(z)) in the non-saturating version to avoid vanishing gradients early in training."
Briefly describe what is a Wasserstein GAN? For a Generative AI course student.,WGAN replaces the JS divergence with Earth Mover (Wasserstein-1) distance. The discriminator (now called critic) outputs an unbounded score. Training requires weight clipping or a gradient penalty (WGAN-GP) to enforce the Lipschitz constraint. WGAN provides a meaningful loss metric correlated with sample quality.
Please describe what is gradient checkpointing?,"Gradient checkpointing reduces activation memory by not storing all intermediate activations during the forward pass. During backprop, discarded activations are recomputed on the fly. Trades about 30% extra compute for a large reduction in memory, enabling larger batch sizes or longer sequences."
What is in-context learning? Explain technically.,In-context learning (ICL) is the ability of LLMs to perform new tasks from examples given in the prompt without weight updates. The model learns from the context at inference time. Performance scales with model size. Understanding of why ICL works is an active research area — hypotheses include implicit gradient descent and Bayesian inference.
Please explain what is weight tying in language models? Explain with definitions.,"Weight tying shares the embedding matrix between the input token embedding layer and the output projection layer (lm_head). Since both map between token space and representation space, sharing weights reduces parameter count and often improves perplexity. Used in GPT-2 and many smaller LLMs."
What is Ollama? Explain with clear definitions.,"Ollama is a tool for running LLMs locally on consumer hardware. Supports quantized GGUF versions of LLaMA-3, Mistral, Gemma, and Phi models. Provides an OpenAI-compatible API. Useful for privacy-sensitive or offline use cases."
What is cross-entropy loss? Be concise.,"Cross-entropy loss measures the difference between the predicted probability distribution and the true distribution: L = -sum_i y_i * log(p_i). For language modeling, it is the negative log-likelihood of the correct next token. Minimizing cross-entropy is equivalent to maximizing likelihood."
Walk through LoRA fine-tuning step by step.,"1. Load pretrained model with 4-bit quantization (QLoRA). 2. Define LoraConfig with r=16, alpha=32, targeting q, k, v, o projections. 3. Wrap model with get_peft_model — freezes base weights, adds LoRA matrices. 4. Tokenize dataset in chat format. 5. Train with SFTTrainer — only LoRA params (~0.4%) update. 6. Save the adapter (~50 MB vs 2 GB full model). 7. Merge or load adapter at inference."
"For a university exam, explain compare encoder-only, decoder-only, and encoder-decoder Transformers. Give examples where relevant.","Encoder-only (BERT): bidirectional context, masked LM pretraining, best for understanding (classification, NER). Decoder-only (GPT, LLaMA): causal attention, next-token prediction, best for generation and in-context learning. Encoder-decoder (T5, BART): full bidirectional encoding plus autoregressive decoding, best for seq2seq tasks like translation."
I need help understanding what is a Variational Autoencoder?,"A VAE is a latent variable model with encoder q(z|x) and decoder p(x|z). The encoder outputs mean and variance of a Gaussian; the decoder reconstructs x from sampled z. Training minimizes the ELBO = E[log p(x|z)] - KL(q(z|x)||p(z)), which is reconstruction quality minus KL divergence regularization."
Briefly describe what is emergent behavior in LLMs? Give examples where relevant.,"Emergent behaviors are capabilities that appear abruptly as model scale increases, not present in smaller models. Examples: multi-step arithmetic, chain-of-thought reasoning, code generation, instruction following. Emergence is related to phase transitions in the loss landscape. The threshold varies by task."
What is DPO? Explain with clear definitions.,"DPO (Direct Preference Optimization, Rafailov et al., 2023) is an RL-free alternative to RLHF. It derives a closed-form optimal policy from the reward model, converting preference learning into a supervised classification objective on (preferred, rejected) pairs. Simpler and more stable than PPO-RLHF."
What is likelihood-based training? Explain technically.,"Likelihood-based training maximizes log P(x; theta) over the training set. VAEs maximize the ELBO (a lower bound), autoregressive models maximize exact log-likelihood, and normalizing flows maximize exact likelihood via invertible transformations. Diffusion models optimize a variational bound on log-likelihood."
"As an AI student, explain what is the difference between BERT and GPT? Explain technically.","BERT is encoder-only with bidirectional masked language modeling — reads the full sequence, powerful for understanding. GPT is decoder-only with causal language modeling — generates tokens left to right, powerful for generation and in-context learning. BERT has no generation capability; GPT can also do understanding via prompting."
What is masked self-attention? Explain technically.,"In the decoder, masked self-attention prevents position i from attending to positions j > i (future tokens). This is done by adding -inf to future positions before softmax, ensuring autoregressive generation where each token depends only on past tokens."
Define the following: compare LoRA and full fine-tuning. Explain technically.,Full fine-tuning updates all parameters needing roughly 28 GB GPU for a 7B model. LoRA adds about 0.1-0.4% extra params needing roughly 6 GB. Quality is comparable for most tasks. LoRA adapters are modular and swappable — multiple tasks can share one base model. LoRA also avoids catastrophic forgetting because base weights are frozen.
What is prompt tuning? Be concise.,"Prompt tuning (Lester et al., 2021) prepends a small number of trainable token embeddings to the input at the embedding layer. The rest of the model is frozen. Simpler than prefix tuning. Performance approaches full fine-tuning at large model scales (10B+ parameters)."
I need help understanding what is a Variational Autoencoder?,"A VAE is a latent variable model with encoder q(z|x) and decoder p(x|z). The encoder outputs mean and variance of a Gaussian; the decoder reconstructs x from sampled z. Training minimizes the ELBO = E[log p(x|z)] - KL(q(z|x)||p(z)), which is reconstruction quality minus KL divergence regularization."
What is dropout regularization? Explain with definitions.,"Dropout randomly sets a fraction p of neurons to zero during training, forcing the network to learn redundant representations. Acts as an ensemble of many sub-networks. Reduces overfitting on small datasets. At inference, all neurons are active and outputs are scaled by (1-p). Less commonly used in modern LLMs."
I need help understanding what tools and platforms are used in the course labs? Give examples where relevant.,"Platform: Google Colab (free T4 GPU). Frameworks: HuggingFace Transformers, PEFT, TRL, Datasets. LLM access: Groq API and Ollama. Vector databases: ChromaDB and FAISS. Embeddings: sentence-transformers. Optional: Weights and Biases for experiment tracking."
"For a university exam, explain what is flash attention? Explain technically.","FlashAttention (Dao et al., 2022) is an IO-aware exact attention algorithm that tiles Q, K, V to avoid materializing the full N by N attention matrix in HBM. Reduces memory from O(N^2) to O(N) and is 2-4x faster due to reduced memory bandwidth. FlashAttention-2 further optimizes parallelism."
Give a technical explanation of what is DPO?,"DPO (Direct Preference Optimization, Rafailov et al., 2023) is an RL-free alternative to RLHF. It derives a closed-form optimal policy from the reward model, converting preference learning into a supervised classification objective on (preferred, rejected) pairs. Simpler and more stable than PPO-RLHF."
Please describe what is the ELBO? Explain technically.,"ELBO = Evidence Lower BOund = E_q[log p(x|z)] - KL(q(z|x)||p(z)). Maximizing the ELBO simultaneously maximizes reconstruction quality and keeps the approximate posterior q(z|x) close to the prior N(0,I). The ELBO lower-bounds log p(x), so maximizing it indirectly maximizes marginal likelihood."
Please describe what is gradient accumulation? Include relevant equations or pseudocode if helpful.,"Gradient accumulation computes gradients over multiple mini-batches before updating weights, simulating a larger effective batch size without extra memory. Effective batch = per_device_batch * gradient_accumulation_steps * num_GPUs. Essential when GPU memory limits per-device batch size."
What is meant by what is a vector database? Give examples where relevant.,"A vector database stores embeddings and supports approximate nearest-neighbor search. Options: ChromaDB (easy Python API, local persistence), FAISS (C++ optimized, billion-scale, IVF/HNSW), Pinecone (managed cloud), Qdrant (Rust, production-grade with payload filters), Weaviate (GraphQL interface)."
What is the Tree of Thoughts framework?,"Tree of Thoughts (Yao et al., 2023) frames problem solving as a search over a tree of coherent text chunks. The model generates multiple thoughts at each node, evaluates their promise, and applies BFS or DFS to navigate the tree. Dramatically outperforms CoT on tasks requiring exploration and backtracking."
Please describe what is the difference between BERT and GPT?,"BERT is encoder-only with bidirectional masked language modeling — reads the full sequence, best for understanding tasks (classification, NER, QA extraction). GPT is decoder-only with causal language modeling — generates tokens left to right, best for text generation and in-context learning."
"In simple terms, what is what is perplexity and how is it interpreted? Provide a detailed answer.",Perplexity = exp(-1/N * sum_i log P(w_i|context)). Lower perplexity means the model assigns higher probability to test text — it is less surprised. A perplexity of k means the model is as uncertain as a uniform distribution over k choices per token. It is an intrinsic metric and may not directly predict downstream performance.
Define the following: what is catastrophic forgetting in fine-tuning? Be concise and precise.,"When a model is fine-tuned on a new task, it may overwrite representations needed for old tasks. Mitigations: PEFT (original weights frozen), elastic weight consolidation (EWC), rehearsal (mixing old data), continual learning methods. LoRA avoids forgetting because base weights are not modified."
Can you explain what is catastrophic forgetting in fine-tuning? Give examples where relevant.,"When a model is fine-tuned on a new task, it may overwrite representations needed for old tasks. Mitigations: PEFT (original weights frozen), elastic weight consolidation (EWC), rehearsal (mixing old data), continual learning methods. LoRA avoids forgetting because base weights are not modified."
What is a conditional GAN?,"In a CGAN, both G and D receive a class label y as input. G generates class-conditional samples; D discriminates real/fake conditioned on y. This allows targeted generation, e.g., ""generate digit 5"". StyleGAN uses AdaIN layers to inject style conditions at multiple resolutions."
"For a university exam, explain what is the difference between BERT and GPT? For a Generative AI course student.","BERT is encoder-only with bidirectional masked language modeling — reads the full sequence, powerful for understanding. GPT is decoder-only with causal language modeling — generates tokens left to right, powerful for generation and in-context learning. BERT has no generation capability; GPT can also do understanding via prompting."
Can you explain what is the reparameterization trick in VAEs? Explain with clear definitions.,"Sampling z ~ N(mu, sigma^2) is non-differentiable. The reparameterization trick rewrites z = mu + sigma * epsilon where epsilon ~ N(0,1). Gradients flow through mu and sigma deterministically; epsilon carries the randomness. This enables backpropagation through the sampling step."
"For a university exam, explain what is gradient checkpointing?","Gradient checkpointing reduces activation memory by not storing all intermediate activations during the forward pass. During backprop, discarded activations are recomputed on the fly. Trades about 30% extra compute for a large reduction in memory, enabling larger batch sizes or longer sequences."
Define the following: what is perplexity and how is it interpreted? Be concise and precise.,Perplexity = exp(-1/N * sum_i log P(w_i|context)). Lower perplexity means the model assigns higher probability to test text — it is less surprised. A perplexity of k means the model is as uncertain as a uniform distribution over k choices per token. It is an intrinsic metric and may not directly predict downstream performance.
Give a technical explanation of what is DPO? Include relevant equations or pseudocode if helpful.,"DPO (Direct Preference Optimization, Rafailov et al., 2023) is an RL-free alternative to RLHF. It derives a closed-form optimal policy from the reward model, converting preference learning into a supervised classification objective on (preferred, rejected) pairs. Simpler and more stable than PPO-RLHF."
I need help understanding what is a diffusion model? Explain with clear definitions.,"Diffusion models (DDPM, Ho et al., 2020) define a forward process that adds Gaussian noise over T steps until x_T is approximately N(0,I), then train a neural network to reverse the process by predicting the noise at each step. Sampling involves iterative denoising. DDIM enables faster sampling."
Can you explain what are evaluation metrics for GANs?,FID (Frechet Inception Distance) computes Frechet distance between real and generated feature distributions in Inception space — lower is better. IS (Inception Score) measures quality and diversity. Precision/Recall for generative models decomposes IS into quality (precision) and diversity (recall).
What is PEFT prefix tuning? Give examples.,"Prefix tuning (Li & Liang, 2021) prepends a sequence of trainable continuous vectors (the prefix) to the key and value matrices at every Transformer layer. Only the prefix parameters are trained; base model is frozen. More expressive than prompt tuning but with more parameters."
Define the following: what tools and platforms are used in the course labs? Include relevant equations or pseudocode if helpful.,"Platform: Google Colab (free T4 GPU). Frameworks: HuggingFace Transformers, PEFT, TRL, Datasets. LLM access: Groq API and Ollama. Vector databases: ChromaDB and FAISS. Embeddings: sentence-transformers. Optional: Weights and Biases for experiment tracking."
Can you explain what is in-context learning? Include relevant equations or pseudocode if helpful.,In-context learning (ICL) is the ability of LLMs to perform new tasks from examples given in the prompt without weight updates. The model learns from the context at inference time. Performance scales with model size. Understanding of why ICL works is an active research area — hypotheses include implicit gradient descent and Bayesian inference.
"In simple terms, what is what is quantization in LLMs? Explain with clear definitions.","Quantization reduces model precision from float32 or float16 to int8, int4, or lower, shrinking memory footprint and speeding up inference. GPTQ uses post-training quantization with calibration data. bitsandbytes enables 4-bit NF4 QLoRA training. Quality loss is minimal at int8 and modest at int4."
I need help understanding what is ReAct prompting? Include relevant equations or pseudocode if helpful.,"ReAct (Yao et al., 2022) interleaves Thought (reasoning step), Action (tool call: search or calculator), and Observation (tool result) cycles. The LLM decides what to do, calls a tool, observes the result, and iterates. Grounding reasoning in tool outputs reduces hallucinations. ReAct is the foundation of LLM agent loops."
"For a university exam, explain what is a Variational Autoencoder? For a Generative AI course student.","A VAE is a latent variable model with encoder q(z|x) and decoder p(x|z). The encoder outputs mean and variance of a Gaussian; the decoder reconstructs x from sampled z. Training minimizes the ELBO = E[log p(x|z)] - KL(q(z|x)||p(z)), which is reconstruction quality minus KL divergence regularization."
What is positional encoding?,"Since self-attention is permutation-invariant, positional encoding injects order information. Original Transformer uses fixed sinusoids: PE(pos,2i)=sin(pos/10000^(2i/d)), PE(pos,2i+1)=cos(pos/10000^(2i/d)). BERT/GPT use learned embeddings. LLaMA uses RoPE (Rotary Position Embedding), which applies rotation matrices to Q and K, enabling relative position information and length generalization."
Briefly describe what is RLHF?,"RLHF (Ziegler et al., 2019) aligns LLMs with human preferences in three stages: (1) SFT on human-written demonstrations; (2) Reward Model trained on preference pairs; (3) RL optimization (PPO) of the SFT model against the reward model with a KL penalty to prevent reward hacking. Used in InstructGPT and ChatGPT."
Briefly describe what is ReAct prompting? Be concise and precise.,"ReAct (Yao et al., 2022) interleaves Thought (reasoning step), Action (tool call: search or calculator), and Observation (tool result) cycles. The LLM decides what to do, calls a tool, observes the result, and iterates. Grounding reasoning in tool outputs reduces hallucinations. ReAct is the foundation of LLM agent loops."
Can you explain what is Ollama? Explain technically.,"Ollama is a tool for running LLMs locally on consumer hardware. Supports quantized GGUF versions of LLaMA-3, Mistral, Gemma, and Phi models. Provides an OpenAI-compatible API. Useful for privacy-sensitive or offline use cases."
What is instruction tuning? Explain with clear definitions.,"Instruction tuning fine-tunes LLMs on diverse (instruction, output) pairs covering many tasks. Models learn to follow natural language instructions zero-shot. FLAN, Alpaca, Vicuna, and OpenHermes are examples. Instruction tuning drastically improves zero-shot generalization across unseen tasks."
Give a technical explanation of what is Groq? Explain with clear definitions.,"Groq is an inference platform with custom LPU hardware delivering extremely fast token generation (200-400 tokens/second). Provides a free API tier supporting LLaMA-3, Mixtral, and Gemma models. Useful for rapid prototyping where low latency matters."
What are BLEU and ROUGE metrics? Be concise and precise.,"BLEU (Bilingual Evaluation Understudy) measures n-gram precision between generated and reference text, used mainly for translation. ROUGE (Recall-Oriented Understudy for Gisting Evaluation) measures recall and F1 of n-gram overlap, used mainly for summarization. ROUGE-L uses longest common subsequence. Both are reference-based and miss semantic equivalence."
What is likelihood-based training? Include relevant equations or pseudocode if helpful.,"Likelihood-based training maximizes log P(x; theta) over the training set. VAEs maximize the ELBO (a lower bound), autoregressive models maximize exact log-likelihood, and normalizing flows maximize exact likelihood via invertible transformations. Diffusion models optimize a variational bound on log-likelihood."
What is meant by what is PEFT prefix tuning? Provide a detailed answer.,"Prefix tuning (Li & Liang, 2021) prepends a sequence of trainable continuous vectors (the prefix) to the key and value matrices at every Transformer layer. Only the prefix parameters are trained; base model is frozen. More expressive than prompt tuning but with more parameters."
What is meant by compare VAEs and GANs. Explain with clear definitions.,"VAEs maximize a tractable ELBO, producing smoother latent spaces — easier to train and encode/decode. GANs use adversarial training, producing sharper samples. VAEs suffer from blurry reconstructions; GANs suffer from training instability and mode collapse. Both are widely used generative models."
Please explain what are the course prerequisites? Explain technically.,"Prerequisites: intermediate Python, basic ML concepts (loss functions, gradient descent), linear algebra (matrix operations, eigenvalues), probability and statistics (distributions, Bayes theorem, MLE)."
Briefly describe what is the attention mechanism in neural networks? Give examples.,"Attention allows a model to weight different parts of the input differently when producing each output element. It computes a context vector as a weighted sum of value vectors, where weights are derived from the similarity between a query and key vectors. Attention removes the bottleneck of fixed-size encodings in seq2seq models."
Compare VAEs and GANs. Provide a detailed answer.,"VAEs maximize a tractable ELBO, producing smoother latent spaces — easier to train and encode/decode. GANs use adversarial training, producing sharper samples. VAEs suffer from blurry reconstructions; GANs suffer from training instability and mode collapse. Both are widely used generative models."
I need help understanding what is PEFT prefix tuning? Give examples.,"Prefix tuning (Li & Liang, 2021) prepends a sequence of trainable continuous vectors (the prefix) to the key and value matrices at every Transformer layer. Only the prefix parameters are trained; base model is frozen. More expressive than prompt tuning but with more parameters."
Please describe what is the forward and reverse process in diffusion models?,"Forward: q(x_t|x_{t-1}) = N(x_t; sqrt(1-beta_t)*x_{t-1}, beta_t*I) adds Gaussian noise at each step. Reverse: learned p_theta(x_{t-1}|x_t) denoises step by step. The network predicts the noise epsilon_theta(x_t, t) and the loss is MSE between predicted and actual noise."
What is the HuggingFace Transformers library? Give examples where relevant.,"HuggingFace Transformers provides a unified API to load thousands of pretrained models from the Model Hub. Key classes: AutoModelForCausalLM, AutoTokenizer, Trainer, TrainingArguments, pipeline. Supports PyTorch, TensorFlow, and JAX. Integrates with PEFT, TRL, and Datasets libraries."
Give a technical explanation of what is multi-head attention? Give examples where relevant.,"Multi-head attention runs h attention heads in parallel, each with independent W_Q, W_K, W_V projections of dimension d_k = d_model/h. Outputs are concatenated then linearly projected: MultiHead(Q,K,V) = Concat(head_1,...,head_h)W_O. Different heads can attend to different positional and semantic patterns."
Briefly describe what is DPO? Give examples where relevant.,"DPO (Direct Preference Optimization, Rafailov et al., 2023) is an RL-free alternative to RLHF. It derives a closed-form optimal policy from the reward model, converting preference learning into a supervised classification objective on (preferred, rejected) pairs. Simpler and more stable than PPO-RLHF."
What is PEFT prefix tuning? Be concise.,"Prefix tuning (Li & Liang, 2021) prepends a sequence of trainable continuous vectors (the prefix) to the key and value matrices at every Transformer layer. Only the prefix parameters are trained; base model is frozen. More expressive than prompt tuning but with more parameters."
What is meant by what is QLoRA? For a Generative AI course student.,"QLoRA (Dettmers et al., 2023) combines 4-bit NF4 (NormalFloat4) quantization of the frozen base model with LoRA adapters trained in bfloat16. Double quantization further compresses quantization constants. With paged optimizers, a 7B model can be fine-tuned on a single 16 GB T4 GPU. Quality is close to 16-bit LoRA."
Give a technical explanation of what is a conditional GAN? Be concise and precise.,"In a CGAN, both G and D receive a class label y as input. G generates class-conditional samples; D discriminates real/fake conditioned on y. This allows targeted generation, e.g., ""generate digit 5"". StyleGAN uses AdaIN layers to inject style conditions at multiple resolutions."
What is residual connection? For a GenAI student.,"A residual (skip) connection adds the input of a sublayer directly to its output: y = F(x) + x. This allows gradients to flow directly through the network, mitigating vanishing gradients. Used in every Transformer block around the attention and FFN sublayers. Key to training very deep networks."
Define the following: what is the HuggingFace Transformers library? Provide a detailed answer.,"HuggingFace Transformers provides a unified API to load thousands of pretrained models from the Model Hub. Key classes: AutoModelForCausalLM, AutoTokenizer, Trainer, TrainingArguments, pipeline. Supports PyTorch, TensorFlow, and JAX. Integrates with PEFT, TRL, and Datasets libraries."
What is meant by what is the softmax function?,"Softmax converts a vector of real numbers into a probability distribution: softmax(z_i) = exp(z_i) / sum_j(exp(z_j)). It ensures all outputs are positive and sum to 1. Used in classification heads, attention score normalization, and the final token prediction layer of LLMs."
Define the following: what is catastrophic forgetting in fine-tuning? Be concise and precise.,"When a model is fine-tuned on a new task, it may overwrite representations needed for old tasks. Mitigations: PEFT (original weights frozen), elastic weight consolidation (EWC), rehearsal (mixing old data), continual learning methods. LoRA avoids forgetting because base weights are not modified."
Please describe what is RLHF?,"RLHF (Ziegler et al., 2019) aligns LLMs with human preferences in three stages: (1) SFT on human-written demonstrations; (2) Reward Model trained on preference pairs; (3) RL optimization (PPO) of the SFT model against the reward model with a KL penalty to prevent reward hacking. Used in InstructGPT and ChatGPT."
"Please explain compare encoder-only, decoder-only, and encoder-decoder Transformers. Provide a detailed answer.","Encoder-only (BERT): bidirectional context, masked LM pretraining, best for understanding (classification, NER). Decoder-only (GPT, LLaMA): causal attention, next-token prediction, best for generation and in-context learning. Encoder-decoder (T5, BART): full bidirectional encoding plus autoregressive decoding, best for seq2seq tasks like translation."
Give a technical explanation of what is likelihood-based training? For a Generative AI course student.,"Likelihood-based training maximizes log P(x; theta) over the training set. VAEs maximize the ELBO (a lower bound), autoregressive models maximize exact log-likelihood, and normalizing flows maximize exact likelihood via invertible transformations. Diffusion models optimize a variational bound on log-likelihood."
What is hallucination in LLMs? Explain technically.,"Hallucination occurs when an LLM generates plausible-sounding but factually incorrect or unsupported content. Types: intrinsic (contradicts source), extrinsic (adds info not in source). Causes: spurious correlations, overconfidence, insufficient grounding. Mitigations: RAG, RLHF, self-consistency, factuality-focused fine-tuning."
